review,sentiment,tfidf_vector
"['one', 'reviewers', 'mention', 'watch', '1', 'oz', 'episode', 'youll', 'hook', 'right', 'exactly', 'happen', 'mebr', 'first', 'thing', 'strike', 'oz', 'brutality', 'unflinching', 'scenes', 'violence', 'set', 'right', 'word', 'go', 'trust', 'show', 'faint', 'hearted', 'timid', 'show', 'pull', 'punch', 'regard', 'drug', 'sex', 'violence', 'hardcore', 'classic', 'use', 'wordbr', 'call', 'oz', 'nickname', 'give', 'oswald', 'maximum', 'security', 'state', 'penitentary', 'focus', 'mainly', 'emerald', 'city', 'experimental', 'section', 'prison', 'cells', 'glass', 'front', 'face', 'inwards', 'privacy', 'high', 'agenda', 'em', 'city', 'home', 'manyaryans', 'muslims', 'gangstas', 'latinos', 'christians', 'italians', 'irish', 'moreso', 'scuffle', 'death', 'star', 'dodgy', 'dealings', 'shady', 'agreements', 'never', 'far', 'awaybr', 'would', 'say', 'main', 'appeal', 'show', 'due', 'fact', 'go', 'show', 'wouldnt', 'dare', 'forget', 'pretty', 'picture', 'paint', 'mainstream', 'audiences', 'forget', 'charm', 'forget', 'romanceoz', 'doesnt', 'mess', 'around', 'first', 'episode', 'ever', 'saw', 'strike', 'nasty', 'surreal', 'couldnt', 'say', 'ready', 'watch', 'develop', 'taste', 'oz', 'get', 'accustom', 'high', 'level', 'graphic', 'violence', 'violence', 'injustice', 'crook', 'guard', 'wholl', 'sell', 'nickel', 'inmates', 'wholl', 'kill', 'order', 'get', 'away', 'well', 'mannered', 'middle', 'class', 'inmates', 'turn', 'prison', 'bitch', 'due', 'lack', 'street', 'skills', 'prison', 'experience', 'watch', 'oz', 'may', 'become', 'comfortable', 'uncomfortable', 'viewingthats', 'get', 'touch', 'darker', 'side']",positive,[0. 0. 0. ... 0. 0. 0.]
"['wonderful', 'little', 'production', 'film', 'technique', 'unassuming', 'oldtimebbc', 'fashion', 'give', 'comfort', 'sometimes', 'discomforting', 'sense', 'realism', 'entire', 'piece', 'actors', 'extremely', 'well', 'choose', 'michael', 'sheen', 'get', 'polari', 'voice', 'pat', 'truly', 'see', 'seamless', 'edit', 'guide', 'reference', 'williams', 'diary', 'entries', 'well', 'worth', 'watch', 'terrificly', 'write', 'perform', 'piece', 'masterful', 'production', 'one', 'great', 'master', 'comedy', 'life', 'realism', 'really', 'come', 'home', 'little', 'things', 'fantasy', 'guard', 'rather', 'use', 'traditional', 'dream', 'techniques', 'remain', 'solid', 'disappear', 'play', 'knowledge', 'sense', 'particularly', 'scenes', 'concern', 'orton', 'halliwell', 'set', 'particularly', 'flat', 'halliwells', 'murals', 'decorate', 'every', 'surface', 'terribly', 'well', 'do']",positive,[0. 0. 0. ... 0. 0. 0.]
"['think', 'wonderful', 'way', 'spend', 'time', 'hot', 'summer', 'weekend', 'sit', 'air', 'condition', 'theater', 'watch', 'lighthearted', 'comedy', 'plot', 'simplistic', 'dialogue', 'witty', 'character', 'likable', 'even', 'well', 'bread', 'suspect', 'serial', 'killer', 'may', 'disappoint', 'realize', 'match', 'point', '2', 'risk', 'addiction', 'think', 'proof', 'woody', 'allen', 'still', 'fully', 'control', 'style', 'many', 'us', 'grow', 'lovebr', 'id', 'laugh', 'one', 'woodys', 'comedies', 'years', 'dare', 'say', 'decade', 'ive', 'never', 'impress', 'scarlet', 'johanson', 'manage', 'tone', 'sexy', 'image', 'jump', 'right', 'average', 'spirit', 'young', 'womanbr', 'may', 'crown', 'jewel', 'career', 'wittier', 'devil', 'wear', 'prada', 'interest', 'superman', 'great', 'comedy', 'go', 'see', 'friends']",positive,[0. 0. 0. ... 0. 0. 0.]
"['basically', 'theres', 'family', 'little', 'boy', 'jake', 'think', 'theres', 'zombie', 'closet', 'parent', 'fight', 'timebr', 'movie', 'slower', 'soap', 'opera', 'suddenly', 'jake', 'decide', 'become', 'rambo', 'kill', 'zombiebr', 'ok', 'first', 'youre', 'go', 'make', 'film', 'must', 'decide', 'thriller', 'drama', 'drama', 'movie', 'watchable', 'parent', 'divorce', 'argue', 'like', 'real', 'life', 'jake', 'closet', 'totally', 'ruin', 'film', 'expect', 'see', 'boogeyman', 'similar', 'movie', 'instead', 'watch', 'drama', 'meaningless', 'thriller', 'spotsbr', '3', '10', 'well', 'play', 'parent', 'descent', 'dialogs', 'shots', 'jake', 'ignore']",negative,[0. 0. 0. ... 0. 0. 0.]
"['petter', 'matteis', 'love', 'time', 'money', 'visually', 'stun', 'film', 'watch', 'mr', 'mattei', 'offer', 'us', 'vivid', 'portrait', 'human', 'relations', 'movie', 'seem', 'tell', 'us', 'money', 'power', 'success', 'people', 'different', 'situations', 'encounter', 'variation', 'arthur', 'schnitzlers', 'play', 'theme', 'director', 'transfer', 'action', 'present', 'time', 'new', 'york', 'different', 'character', 'meet', 'connect', 'one', 'connect', 'one', 'way', 'another', 'next', 'person', 'one', 'seem', 'know', 'previous', 'point', 'contact', 'stylishly', 'film', 'sophisticate', 'luxurious', 'look', 'take', 'see', 'people', 'live', 'world', 'live', 'habitatbr', 'thing', 'one', 'get', 'souls', 'picture', 'different', 'stag', 'loneliness', 'one', 'inhabit', 'big', 'city', 'exactly', 'best', 'place', 'human', 'relations', 'find', 'sincere', 'fulfillment', 'one', 'discern', 'case', 'people', 'encounterbr', 'act', 'good', 'mr', 'matteis', 'direction', 'steve', 'buscemi', 'rosario', 'dawson', 'carol', 'kane', 'michael', 'imperioli', 'adrian', 'grenier', 'rest', 'talented', 'cast', 'make', 'character', 'come', 'alivebr', 'wish', 'mr', 'mattei', 'good', 'luck', 'await', 'anxiously', 'next', 'work']",positive,[0. 0. 0. ... 0. 0. 0.]
"['probably', 'alltime', 'favorite', 'movie', 'story', 'selflessness', 'sacrifice', 'dedication', 'noble', 'cause', 'preachy', 'bore', 'never', 'get', 'old', 'despite', 'see', '15', 'time', 'last', '25', 'years', 'paul', 'lukas', 'performance', 'bring', 'tear', 'eye', 'bette', 'davis', 'one', 'truly', 'sympathetic', 'roles', 'delight', 'kid', 'grandma', 'say', 'like', 'dressedup', 'midgets', 'children', 'make', 'fun', 'watch', 'mother', 'slow', 'awaken', 'whats', 'happen', 'world', 'roof', 'believable', 'startle', 'dozen', 'thumb', 'theyd', 'movie']",positive,[0. 0. 0. ... 0. 0. 0.]
"['sure', 'would', 'like', 'see', 'resurrection', 'date', 'seahunt', 'series', 'tech', 'today', 'would', 'bring', 'back', 'kid', 'excitement', 'mei', 'grow', 'black', 'white', 'tv', 'seahunt', 'gunsmoke', 'heros', 'every', 'weekyou', 'vote', 'comeback', 'new', 'sea', 'huntwe', 'need', 'change', 'pace', 'tv', 'would', 'work', 'world', 'water', 'adventureoh', 'way', 'thank', 'outlet', 'like', 'view', 'many', 'viewpoints', 'tv', 'many', 'moviesso', 'ole', 'way', 'believe', 'ive', 'get', 'wan', 'na', 'saywould', 'nice', 'read', 'plus', 'point', 'sea', 'huntif', 'rhyme', 'would', '10', 'line', 'would', 'let', 'submitor', 'leave', 'doubt', 'quitif', 'must', 'go', 'let']",positive,[0. 0. 0. ... 0. 0. 0.]
"['show', 'amaze', 'fresh', 'innovative', 'idea', '70s', 'first', 'air', 'first', '7', '8', 'years', 'brilliant', 'things', 'drop', '1990', 'show', 'really', 'funny', 'anymore', 'continue', 'decline', 'complete', 'waste', 'time', 'todaybr', 'truly', 'disgraceful', 'far', 'show', 'fall', 'write', 'painfully', 'bad', 'performances', 'almost', 'bad', 'mildly', 'entertain', 'respite', 'guesthosts', 'show', 'probably', 'wouldnt', 'still', 'air', 'find', 'hard', 'believe', 'creator', 'handselected', 'original', 'cast', 'also', 'choose', 'band', 'hack', 'follow', 'one', 'recognize', 'brilliance', 'see', 'fit', 'replace', 'mediocrity', 'felt', 'must', 'give', '2', 'star', 'respect', 'original', 'cast', 'make', 'show', 'huge', 'success', 'show', 'awful', 'cant', 'believe', 'still', 'air']",negative,[0. 0. 0. ... 0. 0. 0.]
"['encourage', 'positive', 'comment', 'film', 'look', 'forward', 'watch', 'film', 'bad', 'mistake', 'ive', 'see', '950', 'film', 'truly', 'one', 'worst', 'awful', 'almost', 'every', 'way', 'edit', 'pace', 'storyline', 'act', 'soundtrack', 'film', 'song', 'lame', 'country', 'tune', 'play', 'less', 'four', 'time', 'film', 'look', 'cheap', 'nasty', 'bore', 'extreme', 'rarely', 'happy', 'see', 'end', 'credit', 'film', 'thing', 'prevent', 'give', '1score', 'harvey', 'keitel', 'far', 'best', 'performance', 'least', 'seem', 'make', 'bite', 'effort', 'one', 'keitel', 'obsessives']",negative,[0. 0. 0. ... 0. 0. 0.]
"['like', 'original', 'gut', 'wrench', 'laughter', 'like', 'movie', 'young', 'old', 'love', 'movie', 'hell', 'even', 'mom', 'like', 'itbr', 'great', 'camp']",positive,[0. 0. 0. ... 0. 0. 0.]
