genre_ids,overview,title
"[18, 80]","['imprison', '1940s', 'double', 'murder', 'wife', 'lover', 'stand', 'banker', 'andy', 'duquesne', 'begin', 'new', 'life', 'shawshank', 'prison', 'put', 'account', 'skill', 'work', 'moral', 'garden', 'long', 'stretch', 'prison', 'duquesne', 'come', 'admire', 'inmates', 'include', 'older', 'prisoner', 'name', 'red', 'integrity', 'unquenchable', 'sense', 'hope']",The Shawshank Redemption
"[18, 80]","['span', 'years', '1945', '1955', 'chronicle', 'sectional', 'italianamerican', 'corleone', 'crime', 'family', 'organize', 'crime', 'family', 'patriarch', 'veto', 'corleone', 'barely', 'survive', 'attempt', 'life', 'youngest', 'son', 'michael', 'step', 'take', 'care', 'would', 'tiller', 'launch', 'campaign', 'bloody', 'revenge']",The Godfather
"[18, 80]","['continue', 'sage', 'corleone', 'crime', 'family', 'young', 'veto', 'corleone', 'grow', 'sicily', '1910s', 'new', 'york', '1950s', 'michael', 'corleone', 'attempt', 'expand', 'family', 'business', 'las', 'begin', 'hollywood', 'cuba']",The Godfather Part II
"[18, 36, 10752]","['true', 'story', 'businessman', 'oscar', 'schindler', 'save', 'thousand', 'jewish', 'live', 'paris', 'work', 'slave', 'factory', 'world', 'war', 'ii']",Schindler's List
[18],"['defense', 'prosecution', 'rest', 'jury', 'file', 'jury', 'room', 'decide', 'young', 'spanishamerican', 'guilty', 'innocent', 'murder', 'father', 'begin', 'open', 'shut', 'case', 'soon', 'become', 'minidrama', 'rumor', 'prejudice', 'preconceptions', 'trial', 'accuse']",12 Angry Men
"[16, 10751, 14]","['young', 'girl', 'chihiro', 'become', 'wrap', 'strange', 'new', 'world', 'spirit', 'parent', 'undergo', 'mysterious', 'transformation', 'must', 'call', 'upon', 'courage', 'never', 'know', 'free', 'family']",Spirited Away
"[18, 28, 80, 53]","['batman', 'raise', 'stake', 'war', 'crime', 'help', 'jim', 'gordon', 'district', 'attorney', 'harvey', 'go', 'batman', 'set', 'dismantle', 'remain', 'criminal', 'organizations', 'plague', 'streets', 'partnership', 'prove', 'effective', 'soon', 'find', 'prey', 'reign', 'chaos', 'unleash', 'rise', 'criminal', 'master', 'know', 'terrify', 'citizens', 'gothic', 'joke']",The Dark Knight
"[35, 18, 10749]","['run', 'rich', 'carefree', 'happygolucky', 'second', 'generation', 'ni', 'simon', 'daughter', 'chaudhary', 'bald', 'sigh', 'spite', 'ni', 'strict', 'adherence', 'indian', 'value', 'simon', 'leave', 'india', 'marry', 'childhood', 'fiance', 'run', 'leave', 'india', 'mission', 'hand', 'claim', 'lady', 'love', 'nose', 'whole', 'family', 'thus', 'begin', 'sage']",Dilwale Dulhania Le Jayenge
"[14, 18, 80]","['supernatural', 'tale', 'set', 'death', 'row', 'southern', 'prison', 'gentle', 'giant', 'john', 'coffee', 'possess', 'mysterious', 'power', 'heal', 'people', 'ailments', 'cell', 'block', 'head', 'guard', 'paul', 'edgecomb', 'recognize', 'confess', 'miraculous', 'gift', 'try', 'desperately', 'help', 'state', 'condemn', 'man', 'execution']",The Green Mile
"[35, 53, 18]","['unemployed', 'kitaeks', 'family', 'take', 'peculiar', 'interest', 'wealthy', 'amorous', 'part', 'livelihood', 'get', 'entangle', 'unexpected', 'incident']",Parasite
"[12, 14, 28]","['armies', 'mass', 'final', 'battle', 'decide', 'fate', 'woodland', 'powerful', 'ancient', 'force', 'light', 'dark', 'compete', 'determine', 'outcomeone', 'member', 'fellowship', 'ring', 'reveal', 'noble', 'heir', 'throne', 'kings', 'men', 'yet', 'sole', 'hope', 'triumph', 'evil', 'lie', 'brave', 'habit', 'accompany', 'loyal', 'friend', 'sam', 'hideous', 'wretched', 'glum', 'venture', 'deep', 'dark', 'heart', 'order', 'seemingly', 'impossible', 'quest', 'destroy', 'ring', 'power\u200b']",The Lord of the Rings: The Return of the King
"[53, 80, 35]","['burgerloving', 'hit', 'man', 'philosophical', 'partner', 'drugaddled', 'gangsters', 'toll', 'wash', 'boxer', 'converge', 'sprawl', 'comedy', 'crime', 'caper', 'adventure', 'unfurl', 'three', 'stories', 'ingenious', 'trip', 'back', 'forth', 'time']",Pulp Fiction
"[16, 10749, 18]","['high', 'school', 'misha', 'take', 'complete', 'strangers', 'live', 'separate', 'live', 'one', 'night', 'suddenly', 'switch', 'place', 'misha', 'wake', 'take', '’', 's', 'body', 'bizarre', 'occurrence', 'continue', 'happen', 'random', 'two', 'must', 'adjust', 'live', 'around']",Your Name.
[37],"['civil', 'war', 'rag', 'union', 'confederacy', 'three', 'men', '–', 'quiet', 'longer', 'ruthless', 'whitman', 'mexican', 'bandit', '–', 'comb', 'american', 'southwest', 'search', 'strongbox', 'contain', '200000', 'steal', 'gold']","The Good, the Bad and the Ugly"
"[12, 18, 878]","['adventure', 'group', 'explorers', 'make', 'use', 'newly', 'discover', 'wormhole', 'surplus', 'limitations', 'human', 'space', 'travel', 'conquer', 'vast', 'distance', 'involve', 'interstellar', 'voyage']",Interstellar
"[35, 18, 10749]","['man', 'low', 'accomplish', 'great', 'things', 'life', 'present', 'significant', 'historic', 'events—in', 'case', 'far', 'exceed', 'anyone', 'imagine', 'could', 'despite', 'achieve', 'one', 'true', 'love', 'exude']",Forrest Gump
"[18, 80]","['true', 'story', 'henry', 'hill', 'halfirish', 'halfsicilian', 'brooklyn', 'kid', 'adopt', 'neighbourhood', 'gangsters', 'early', 'age', 'limbs', 'rank', 'mania', 'family', 'guidance', 'jimmy', 'conway']",GoodFellas
"[28, 18]","['samurai', 'answer', 'villages', 'request', 'protection', 'fall', 'hard', 'time', 'town', 'need', 'protection', 'bandit', 'samurai', 'gather', 'six', 'others', 'help', 'teach', 'people', 'defend', 'villagers', 'provide', 'soldier', 'food']",Seven Samurai
"[16, 18, 10752]","['final', 'months', 'world', 'war', 'ii', '14yearold', 'septa', 'sister', 'setsuko', 'orphan', 'mother', 'kill', 'air', 'raid', 'robe', 'japan', 'fall', 'aunt', 'move', 'abandon', 'bomb', 'shelter', 'survive', 'relatives', 'emergency', 'ration', 'deplete', 'septa', 'setsuko', 'struggle', 'survive']",Grave of the Fireflies
"[35, 18]","['touch', 'story', 'italian', 'book', 'seller', 'jewish', 'ancestry', 'live', 'little', 'fairy', 'tale', 'creative', 'happy', 'life', 'would', 'come', 'abrupt', 'halt', 'entire', 'family', 'deport', 'concentration', 'camp', 'world', 'war', 'ii', 'lock', 'try', 'convince', 'son', 'whole', 'thing', 'game']",Life Is Beautiful
"[18, 53]","['tickingtimebomb', 'insomnia', 'slippery', 'soap', 'salesman', 'channel', 'prima', 'male', 'aggression', 'shock', 'new', 'form', 'therapy', 'concept', 'catch', 'underground', 'fight', 'club', 'form', 'every', 'town', 'eccentric', 'get', 'way', 'unite', 'outofcontrol', 'spiral', 'toward', 'oblivion']",Fight Club
"[28, 18, 36]","['downonhisluck', 'veteran', 'tsugumo', 'hanshirō', 'enter', 'courtyard', 'prosperous', 'house', 'iii', 'unemployed', 'family', 'hop', 'find', 'place', 'commit', 'seppuku—and', 'worthy', 'second', 'deliver', 'coup', 'de', 'grace', 'suicide', 'ritual', 'senior', 'counselor', 'iii', 'clan', 'question', 'robin', '’', 's', 'resolve', 'integrity', 'suspect', 'hanshirō', 'seek', 'charity', 'rather', 'honorable', 'end', 'follow', 'pair', 'interlock', 'stories', 'lay', 'bare', 'difference', 'honor', 'respect', 'promise', 'examine', 'legendary', 'foundations', 'samurai', 'code']",Harakiri
"[18, 10749]","['filmmaker', 'recall', 'childhood', 'fell', 'love', 'move', 'villages', 'theater', 'form', 'deep', 'friendship', 'theaters', 'protectionist']",Cinema Paradiso
"[12, 14, 28]","['young', 'habit', 'bag', 'insert', 'mysterious', 'ring', 'uncle', 'bill', 'must', 'leave', 'home', 'order', 'keep', 'fall', 'hand', 'evil', 'creator', 'along', 'way', 'fellowship', 'form', 'protect', 'ringleader', 'make', 'sure', 'ring', 'arrive', 'final', 'destination', 'mt', 'doom', 'place', 'destroy']",The Lord of the Rings: The Fellowship of the Ring
